Country,Region,Total population,GDP per capita,Total renewable water resources,Total water withdrawal,Total hydropower generation,Total dam capacity
Republic of Moldova,Europe and Central Asia,51096.42,2798.55,12.27,0.84,0,18.83
Romania,Europe and Central Asia,4059.68,12234.1,212.01,6.42,6705,1.13
Russian Federation,Europe and Central Asia,19653.97,11534.18,4525.45,64.82,160171,11.06
Rwanda,Sub-Saharan Africa,145530.08,760.73,13.3,0.61,99,801.54
Sao Tome and Principe,Sub-Saharan Africa,33.67,1968.73,2.18,0.04,4,88
Saudi Arabia,Middle East and North Africa,207.09,23319.89,2.4,25.99,0,0.04
Senegal,Sub-Saharan Africa,33101.18,1461.17,38.97,3.02,0,1
Serbia,Europe and Central Asia,15419.36,7215.96,162.2,5.62,2835,0.25
Sierra Leone,Sub-Saharan Africa,96.42,531.28,160,0.21,54,0
Slovakia,Europe and Central Asia,5708.04,19442.19,50.1,0.61,0,0.07
Slovenia,Europe and Central Asia,5447.9,25962.33,31.87,0.94,0,1.73
Solomon Islands,East Asia and the Pacific Rim,2076.39,2039.28,44.7,1,0,0.03
Somalia,Sub-Saharan Africa,636.04,98.44,14.7,3.3,0,87
South Africa,Sub-Saharan Africa,14589.18,6412.96,51.35,19.85,2251,0
South Sudan,Sub-Saharan Africa,57009.76,635.25,49.5,0.66,6447,31.02
Spain,Europe and Central Asia,10910.76,30599.42,111.5,29.47,18561,22
Sri Lanka,South Asia,46647.43,4245.43,52.8,12.95,1624,53.81
Sudan,Sub-Saharan Africa,21128.03,1216.88,37.8,26.94,2250,5.94
Suriname,Latin America and the Caribbean,40813.4,6084.95,99,0.62,189,21.23
Sweden,Europe and Central Asia,570.5,55704.97,174,2.38,16184,20
Switzerland,Europe and Central Asia,9904.9,82530.17,53.5,1.77,15635,35.96
Syrian Arab Republic,Middle East and North Africa,8455.8,909.42,16.8,16.76,1505,3.34
Tajikistan,Europe and Central Asia,17095.68,826.04,21.91,10.6,5190,19.65
Thailand,East Asia and the Pacific Rim,8880.27,7299.35,438.61,57.31,4510,29.51
Timor-Leste,East Asia and the Pacific Rim,69209.81,1949.26,8.22,1.17,0,79.23
Togo,Sub-Saharan Africa,1243.26,646.41,14.7,0.22,65,30
Tunisia,Middle East and North Africa,1384.06,3421.78,4.62,3.84,66,0.07
Turkey,Europe and Central Asia,11433.44,9416.32,211.6,61.92,25886,2.69
Turkmenistan,Europe and Central Asia,81116.45,6963.94,24.77,27.95,1,157.83
Uganda,Sub-Saharan Africa,11.37,679.87,60.1,0.64,706,14
Ukraine,Europe and Central Asia,41166.59,2972.84,175.28,11.07,6785,80
United Arab Emirates,Middle East and North Africa,44487.71,43407.64,0.15,5.07,0,55.4
United Kingdom,Europe and Central Asia,9487.2,42889.39,147,8.42,4443,0.06
United Republic of Tanzania,Sub-Saharan Africa,66727.46,994.45,96.27,5.18,0,5.27
United States of America,North America,54660.34,62981.39,3069,444.29,250148,104.2
Uruguay,Latin America and the Caribbean,325084.76,17177.14,172.2,3.66,1538,735.87
Uzbekistan,Europe and Central Asia,3436.64,1560.33,48.87,58.9,1731,17.15
Vanuatu,East Asia and the Pacific Rim,31959.79,3150.93,10,1,0,22.01
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,285.51,6433.93,1325,22.63,15393,181
Viet Nam,East Asia and the Pacific Rim,29402.48,2538.07,884.12,82.03,15211,157.63
Yemen,Middle East and North Africa,94600.65,922.4,2.1,3.57,0,44.72
Zambia,Sub-Saharan Africa,27834.82,1549.35,104.8,1.57,2272,0.46
Zimbabwe,Sub-Saharan Africa,16853.6,1437.43,20,3.77,765,101.13
